时长: 861s

[1s] 对吗 是
[3s] 对吗 是干了什么
[5s] 我们在这么一的时候的VRX 循环是
[8s] 什么意思是说我们走一步各进度
[11s] 然后当地平坊会下一步的一个决策
[18s] 但是我们有两个问题
[19s] 第一个就是我们一个福大公路的话
[23s] 没有一个机简规划嘛
[24s] 永远就有一跑偏
[27s] 就
[30s] 一步一步的走
[30s] 但是也不知道什么时候能跑完
[32s] 也不知道跑到别的什么地方去了
[35s] 第二就是
[37s] 如果我们是一个天天要有一个高频动物的话
[41s] 我们还用这一种方式去做
[45s] 举个例子
[46s] 我们做代码胜卡
[48s] 可能同一个文件
[49s] 要是省出来的结果不一样
[51s] 那没关系
[51s] 然后保持那个密等的移植性
[54s] 就是我们
[56s] 那么是我们要去
[58s] 增加了两个能力
[59s] 一个就是我们针对一个福大公路的一个规划
[62s] 即将规划好
[63s] 第二就是我们针对一个同样的一个公路
[67s] 意思经验的一个服用
[71s] 那么这么识就是辈子
[74s] 加规划
[76s] 辈子的这么一的辈子
[80s] 我们是没有动的
[81s] 我们在上面去加了两个能力
[84s] 然后我们通过下廊章去做一个
[88s] 去拆解我们怎么做的
[91s] 第一个机子我们有一个困难
[94s] 我在Gloco的里面有一个TotalVide
[97s] 我们去简单地把它做成困难
[99s] 因为我们不想去做了一个进度管理
[104s] 难道会比较麻烦一点
[106s] 不符合我们演出这个本质
[109s] 所以我们只是那样强行去拆
[112s] 拆完之后
[114s] 去然后再按
[116s] 然后再按进度已经不一步去做
[120s] 但是不做那个进度的一个管理那一部分
[126s] 其实就是我们同样头上
[128s] 我们可以看到我们把一个时达
[130s] 那么交给大模型之后
[131s] 让它拆成Slaps
[132s] 然后在Slaps之后
[134s] 然后我们已经把Slaps一个微给大模型
[138s] 然后去做
[139s] 这样子就比大模型
[144s] 自己一步一步去做
[145s] 会清晰明确很多
[149s] 如果我们要做一段太迹的话
[153s] 会更复杂
[154s] 有一种实验方式
[155s] 一种就是A硬的本地去管理管理机
[157s] 一种就是我们
[158s] 那样大模型之地去管理那个管理机
[161s] 但是都比较复杂
[163s] 我们可以看到一个困难工具的第一
[170s] 其实就是告诉它
[172s] 使用实际是什么
[174s] 不使用的实际是什么
[176s] 就是使用实际就是多部
[179s] 多工具写多少
[180s] 有一赖
[181s] 我就比较适合
[183s] 不使用实际就是简单的
[185s] 一步调用的就不输输用
[187s] 然后让它返回一个Slaps
[189s] 就完了
[201s] 然后在我们这里面
[202s] 就
[203s] Plan只调用了一次
[206s] 因为主人一拆拆完
[207s] 走的是并讲
[208s] 并讲话嘛
[211s] 如果
[212s] 然后拆完之后
[213s] 我们就把
[214s] Plan工具去掉
[215s] 去掉之后
[219s] 每次下手在执行Slaps的时候
[222s] 就不是这几拆拆分了
[224s] 然后我们讲一下
[236s] 加个几只
[237s] 实际要
[238s] 一个非常地工作的模板
[240s] 因为我们
[241s] 因为我们会经常遇到一种问题
[243s] 就是同样的一个问题
[246s] 当我们行动两次
[247s] 它每次在一个
[249s] 推延步驟
[249s] 执行步驟都可能不一样
[251s] 当然有些问题是可以
[253s] 密等执行的
[254s] 它就像中间的步驟不一样
[255s] 也没关系
[257s] 只是说有一定的成本不一样
[259s] 比如说这次早就用的这个工具
[261s] 上升在那个工具
[263s] 如果结果
[264s] 这个唯一确定的东西都还好
[266s] 如果不是
[267s] 晚上确定的别多
[268s] 我们刚刚做一个代码审查
[270s] 它每次想到的方案可能不太一样
[273s] 就会导致结果都不一样
[277s] 我们
[279s] 尽量让它去
[280s] 去进一个结果移制的话
[282s] 我们会可以可以怎么做呢
[284s] 我们就可以把这个用物
[285s] 怎么做的一个
[288s] SOP
[290s] 固化成一个非常地模板
[294s] 然后告诉大目前说
[296s] 我有这样的一个实际要
[298s] 如果你学校用
[299s] 你去教育学校
[300s] 然后研究育学校里面的一个步驟
[302s] 去去执行
[304s] 这里我们的实际要是一个
[313s] 很简单的一个
[314s] Problem on the base的一个实际要
[316s] 而且我们不隐于复杂的结构
[321s] 为了颜色
[324s] 当然你可以
[326s] 现在生态还进来的
[328s] 实际要可能会更复杂
[331s] 它和图案的一个比
[332s] 那个公主的一个对比的话
[335s] 其实它是个行为规范
[337s] 它
[338s] 它不具体实现执行能力
[340s] 它只是一个执行的一个策略
[343s] 然后去走出了一下
[346s] 动作是怎么
[348s] 往下执行的
[355s] 然后我们再简单看一下
[357s] 一个简单的实际要文件格式
[360s] 这个是符
[361s] 和是符和标准的
[363s] 首先
[365s] 它是一个
[366s] 样样的格式
[367s] 首先它前面必须有两个东西
[371s] 就是有一个
[372s] Name
[372s] 有一个Description
[374s] Description型里面会包含一个触发条件
[377s] 可以毕竟变成三个也行
[378s] 就是说
[379s] 一个名称一个描续
[381s] 描续里面会包裹一个触发条件
[384s] 这就是我们的一个
[386s] 相当于是它的一个Mata信息
[389s] 然后下面也是证文
[390s] 证文里面可以
[393s] 详细的写
[394s] 比如说我们会简单
[395s] 接触一下这个
[396s] 这个
[397s] 这个
[398s] 是要干什么
[399s] 是
[401s] 是要干什么
[402s] 怎么做
[402s] 然后下面是一个比较想起的一个步驭
[406s] 这个是全推的是一个
[411s] 文字信的描续
[413s] 有时候可以
[413s] 你可以将它去
[415s] 将
[417s] 高高的机器将用怎么攻略
[418s] 也可以将它去直接
[419s] 将用什么本地的一些
[422s] 脚本
[422s] 什么的都可以
[430s] Mata信息里面就是包含NAM disk
[433s] creption和Trigger
[434s] 然后玻璃是公司流入的证文
[437s] 我们每次
[439s] 我们通过那个加宅器
[441s] 我们可以看到
[442s] 我们每次先首先
[444s] 在Hの其中的时候通过一个
[448s] 很多的Skills
[449s] 去加宅所有的Skills
[452s] 把发现三个部分
[453s] 一部分是 diskcreption
[454s] 一部分是
[456s] NAM diskcreption
[457s] Trigger 玻璃之类的东西
[461s] 然后我们自己
[462s] 因为我们
[463s] 为了保持比较简单
[465s] 就没有
[467s] 没有用那个
[469s] 库
[469s] 手中自己
[470s] 手中自己用的那个
[471s] 证则解释了一下
[473s] 我们的
[476s] 演示的时候的那是个案
[477s] 会比较规范的
[479s] 然后我们看一下我们怎么加宅的
[482s] 加宅的话
[482s] 我们像当于是说
[484s] 因为我们
[485s] 才能
[486s] NAM diskcreption
[487s] 确课和玻璃的嘛
[488s] 然后我们再
[490s] 在那个
[491s] 标的
[492s] Sage Performance的时候
[493s] 我们开始不是有一个
[494s] 决定的信息嘛
[495s] 然后我们再把
[497s] Skills的一个Mata信息下进去
[499s] Mata信息是
[500s] 就是加了一个
[501s] 你看了每一个NAM diskcreption的
[503s] Trigger
[504s] 就告诉他
[506s] 我们本地是有这样一个
[509s] Skills能力的
[511s] 如果你遇到
[513s] 突发的词
[514s] 或者是
[514s] Ditple面标
[515s] 那时的
[516s] 还就会
[517s] 去调用本地的一个Skills
[519s] 我们本地去
[520s] 我们那个又是Skills工具嘛
[527s] 像当于是说
[528s] 这样子
[529s] 我们就是
[530s] 减少那个
[532s] 换下文的一个信息
[533s] 因为如果有多个Skills的话
[534s] 是指传Mata信息还是比较少的
[537s] 让Agin的时候
[538s] 我们去把那个Skills
[540s] 我们的里面
[540s] 去加在本地的所有的
[541s] 所有的一个Skills的信息
[545s] 然后
[548s] 有大模型盘
[549s] 是不是有调用
[550s] 通过特别早的
[552s] 通过特别早
[553s] 就是特别早去
[555s] 那个特别地
[556s] 又是去调那个
[558s] 又是Skills工具
[559s] 然后
[559s] 又是Skills工具就是
[560s] 这时候
[561s] 我们会把那个
[562s] Body信息
[563s] 去
[564s] Skills的Mata信息里面去
[566s] 然后
[566s] 在大模型根据
[571s] 那个Body信息
[572s] 去按照那个步骤
[574s] 去走
[575s] 我们向下执行
[577s] 这个Skills
[589s] 跟两个机子讲完
[590s] 我们再看一下
[591s] 真实的一个眼神案例
[593s] 我们首先
[593s] 简直是一个
[594s] 简单工
[595s] 我没有困难
[596s] 也不会叫Skills的一个方式
[599s] 就跟我们的
[600s] DemoE里面一样
[602s] 统计当下
[602s] 那个摩托下的一个
[604s] Path軟件的数量
[605s] 我们执行一下
[607s] 如果就是说
[608s] 因为这东西也是不确定的嘛
[609s] 如果
[611s] 机一步
[611s] 然后
[613s] 按模型就找到
[614s] 合作工具可能就一步
[615s] 一冷就完了
[616s] 因为一冷完
[617s] 后来掉了
[618s] 看来
[619s] 你简直就完了
[620s] 他就自动
[621s] 就自动自行完了
[624s] 这里面我们可以看到
[625s] 他不会掉不烂
[625s] 因为简单嘛
[626s] 你一步
[627s] 第二个还也不会
[628s] 用于Skills
[629s] 因为匹配不到嘛
[631s] 然后第二个
[633s] 任务我们
[634s] 就是一个伺服
[635s] 然后我们为安安保证他
[639s] 尽可能触发
[640s] 我们相当
[642s] 在那个
[643s] 用务连续里面
[644s] 做了一些
[646s] 比较强的一个提示
[649s] 会告诉他
[649s] 我们要你多几件事
[650s] 我告诉他
[651s] 有项目依赖
[652s] 这样子就更匹配我们的
[654s] 那个
[654s] Plan的那个
[656s] 那个
[657s] 苗穴
[658s] Plan这个工程苗穴
[660s] 然后我们就会发现
[665s] 他们先会掉不然工具
[666s] 现在才完之后
[668s] 然后
[668s] 每个Skills
[669s] 都不问下走
[670s] 一直到那个
[671s] 我们完成
[674s] 通过观察
[675s] 我们可以看到
[675s] 只掉了一次Plan
[678s] 然后我们也没有去
[679s] 做进度的一个跟踪
[680s] 因为我们讲话了
[682s] 第三个掉完之后
[683s] 去医学
[691s] 我们第三个场景
[692s] 就是
[699s] Skills触发
[701s] 我们
[704s] 给另一个动物
[705s] 就要留意一下
[706s] 我们当前的
[707s] A的两批外
[708s] 就是这个Demo室里面的
[709s] 这个文件
[712s] 然后大部分看到了
[713s] 一个有月的原型系列
[714s] 触发了那个Trigger
[716s] 他就会掉用
[717s] 有机要有没有拿到玻璃
[718s] 拿到玻璃之后
[721s] 他就看到那个玻璃里面的
[723s] 一个工作流程
[724s] 他就按照工作流程去夺
[727s] 夺完之后他就会
[730s] 因为这个有个好处
[731s] 就是
[732s] 不管多少是去
[734s] 去执行这个跟我
[736s] 他都会
[738s] 他都会按照那个
[745s] Skills里面那个玻璃去
[748s] 因为像他用你给他一个
[749s] 约束嘛
[750s] 告诉他一个约束
[751s] 按照那个玻璃去做
[752s] 可能后面还是会有一些
[754s] 细微的背景
[755s] 但是整体的流程是
[757s] 把方的是一只的
[758s] 必须限制性什么
[759s] 带制性什么
[760s] 要求他去
[761s] 有什么格式
[761s] 这个都是一只的
[763s] 他就不会从
[764s] 凌开始自己
[766s] 推倒了
[767s] 模板都会一样
[768s] 的时候去
[768s] 包括约束条件都是一样的
[771s] 最后最终结果
[771s] 一只性可以
[773s] 驾好的去保证
[775s] 那么
[777s] 那么是我们就讲完了
[779s] 那么是一个总结
[780s] 就是我们在背子
[781s] 那么一张背子上
[782s] 多了一个规划的一个走
[786s] 里面有两个新的一个机子
[788s] 一个就是布赖
[789s] 就是告诉他
[790s] 我们
[792s] 怎么样把
[793s] 当前的人
[794s] 那个弄我去拆
[795s] 拆完之后
[798s] 拆完之后
[799s] 去读不知心
[801s] 这个是
[802s] 大陌性自己
[802s] 去根据弄复
[803s] 大家都去规划
[804s] 去判断这个
[805s] 是不是叫拆
[806s] 然后是个要的话
[807s] 就是我们
[808s] 定义的一类事情
[810s] 同为一个
[810s] 特别危险
[811s] 和做法
[812s] 气趣
[813s] 触发
[813s] 如果发现
[814s] 与符合我们的
[816s] 符合我们
[818s] 预定越来越
[818s] 那一类人物比较一致
[820s] 然后大陌性就
[821s] 按照我们自己
[822s] 定义的一个
[823s] 弄我
[824s] 执行的一个
[825s] 流程和规划
[827s] 去约束大陌性的一个
[828s] 思维方式和产确
[831s] 从
[832s] 我们从这个能力
[833s] 眼睛的看看
[834s] 像那一种说
[835s] 我们增加了一个
[837s] 从会行动里面
[838s] 我们增加了一个
[839s] 能够
[841s] 自觉
[841s] 就先分解
[843s] 执行物的一个能力
[844s] 然后
[845s] 却会
[846s] 不用
[846s] 复用经验的能力
[850s] 我们从
[850s] 浮楼里面看到
[851s] 一个经济回顾的话
[852s] 我们就是
[853s] 邓某士
[854s] 向尔学士说
[855s] 做了一个
[855s] 把规划走去讲了
